text,language
in the sticks,English
die goed wat jy aan jou ouer doen dit belê jy rente op rente maar wat jy aan jou kind doen dit is jy die meeste van die tye met kapitaal en rente kwyt dis ‘n gelukkie as jy daar iets van terugkry moet niet daarop reken,Afrikaans
dogs dinner,English
jack the lad,English
whipper snapper,English
hy is nie so groen dat ‘n koei hom sal vreet nie,Afrikaans
ledigheid is die duiwel se oorkussing lig jou alie en kry jouself in rat,Afrikaans
al fresco,English
high on the hog,English
daar is maar één rede waarom ‘n mens onder ‘n vreemde nasie inkruip die voordeel van die parasiet of die nadeel van die renegaat,Afrikaans
’n gedurige gedrup maak ’n gat in ’n klip,Afrikaans
theres one a sucker born every minute,English
dit is maklik gesê maar die eend lê die eier,Afrikaans
be enthralled,English
shot across the bows,English
vir dertig stukke silwer,Afrikaans
behind every great man theres a great woman,English
sevenyear itch,English
stuff and nonsense,English
paying guest  a,English
preposterous,English
so blind soos n mol,Afrikaans
twee mossies vir ‘n stuiwer,Afrikaans
put the cart before the horse,English
dead as a dodo,English
bed of roses,English
weakest link  a chain is only as strong as its,English
many happy returns,English
die duiwel se briewe lees,Afrikaans
hou jy van hospitaalkos  bydrae herman janse van rensburg,Afrikaans
selfs in die slegste vorm van werk raak die mens se hele siel in harmonie did oomblik dat dit begin werk,Afrikaans
pigs back  on the,English
vele handen maken licht werk,Nederlands
arm candy  see ear candy,English
push the boat out,English
foregone conclusion,English
hot off the press,English
shakers and movers,English
done to a turn,English
luiaard gaan na die mier,Afrikaans
fool and his money are soon parted  a,English
wanneer die moeilikheid so groot soos ‘n berg is klim die wyse booor die dwaas graaf ‘n tonnel onderdeur en bly binne vassteek die lafaard draai om,Afrikaans
smallest room in the house  the,English
up the pole,English
peg out,English
go whole hog,English
the tail wagging the dog,English
chickens come home to roost,English
cold comfort,English
blood sweat and tears,English
turn up trumps,English
a watched pot never boils,English
fifth column,English
load of codswallop,English
as jy daaroor kan lag kan jy daarmee saamleef,Afrikaans
mans inhumanity to man,English
a skeleton in the closet,English
many a true word is spoken in jest,English
shot in the dark,English
the face that launched a thousand ships,English
though this be madness yet there is method in it,English
one swallow doesnt make a summer,English
godfrey daniel,English
game of two halves,English
dit sal my laat ystervarke vang,Afrikaans
die baas knor weer vanmôre soos ‘n muishond met ‘n seer bal,Afrikaans
booby trap,English
as white as snow,English
a womans place is in the home,English
thick and thin,English
children should be seen and not heard,English
paper tiger,English
het regent pijpenstelen,Nederlands
pieter se nuwe meisie is ‘n mooi melkkoffie,Afrikaans
wie het eerst komt het eerst maalt,Nederlands
out of the jaws of death,English
tell it to the marines,English
what you see is what you get  wysiwyg,English
lose face,English
climb on the bandwagon,English
turn up for the books,English
not a dickybird,English
famous for fifteen minutes,English
elke hart het sy smart,Afrikaans
down the pan,English
power dressing,English
an arm and a leg,English
volmaaktheid is altyd bereikbaar op ‘n kleinigheid na,Afrikaans
to boot,English
pig in a poke,English
mad as a hatter,English
artyfarty,English
keep your nose to the grindstone,English
van ‘n muggie ‘n olifant maak,Afrikaans
hy is pad op,Afrikaans
klim uit die streskas,Afrikaans
get your goat,English
helterskelter,English
no names no packdrill,English
anchors aweigh,English
proverbs  a list of,English
‘n mens het nog nie gemoedskalmte voordat jy nie kan niksdoen lekkerdoen nie,Afrikaans
womans place is in the home  a,English
wie zaait zal oogsten,Nederlands
if it aint broke dont fix it,English
“pluk so ‘n spierwit dingetjie uit haar handsak en pafpaf op haar neus” – cm van den heever langs die grootpad,Afrikaans
a rose by any other name would smell as sweet,English
read between the lines,English
johnny on the spot,English
buggins turn,English
gofaster,English
brush  as daft as a,English
i will wear my heart upon my sleeve,English
to sleep perchance to dream ay theres the rub,English
better late than never,English
amber nectar,English
physician heal thyself,English
silver lining  every cloud has a,English
a norange,English
the chickens come home to roost,English
ek moet ‘n wegmens wees,Afrikaans
load of cobblers,English
iron hoof,English
according to hoyle,English
faith will move mountains,English
pigeonchested,English
katy bar the door,English
queer the pitch,English
square meal,English
politici loop almal met twee aangesigte,Afrikaans
is the pope catholic,English
asap  as soon as possible,English
gad zooks or gadzooks,English
there are three kinds of lies,English
een mens verneuk nie ‘n ander nie elke mens verneuk homself,Afrikaans
fast and loose,English
cold as any stone,English
hy dink hy is die goewerneur se hond se oom,Afrikaans
air quotes,English
last straw  the,English
when pigs fly,English
wanneer ‘n man en vrou hul huwelik begin bespreek lê hulle getuienis af by ‘n geregtelike ondersoek,Afrikaans
whipping boy,English
as good as gold,English
die dans vryspring,Afrikaans
gemak ondermyn ‘n mens,Afrikaans
shaggy dog story,English
fanny adams  sweet,English
swan song,English
religion is the opium of the people,English
break a leg,English
an oxford scholar,English
ek kon my weldade dikker gesaai het en hulle sou mekaar nie verdring het nie,Afrikaans
mutts nuts  the,English
down at heel,English
such is life,English
cash on the nail,English
“hy trek ‘n mbeki”,Afrikaans
comparisons are odious,English
genade het nie ‘n horing nie dalk beter bekend as “genade het nie horings nie” 🙂,Afrikaans
verbosity leads to unclear inarticulate things,English
foam at the mouth,English
touch and go,English
one small step for man,English
go for a burton,English
geld is kleurblind maar terselfdertyd uiters sensitief vir politike uitsprake,Afrikaans
land of nod  the,English
black as newgates knocker,English
the jury is still out,English
die verste berge is altyd die blouste,Afrikaans
the short end of the stick,English
sexton blake,English
blingbling,English
ou bokke pluk die hoogste doringpeule,Afrikaans
back to the drawing board,English
put your nose out of joint,English
posh  port out starboard home,English
name is mud,English
moenie roem dat jy geen kwaad gedoen het nie watter goed het jy gedoen” ‘n steeks perd is nie meer werd as een wat skop nie hy beteken minder – een wat skop kan jy terug skop maar jy kan nie terug steeks wees nie,Afrikaans
eigen haard is goud waard,Nederlands
skid row,English
“hy twengtweng en pangpang aan die snare” – boerneef boplaas,Afrikaans
lay it on with a trowel,English
a bird in the hand is worth two in the bush,English
damp squib,English
in the doghouse,English
up to snuff,English
doom and gloom,English
the love that dare not speak its name,English
lamb to the slaughter,English
the crack of doom,English
moenie oor my treur nie – wees bly dat ek eens hier was,Afrikaans
onehit wonder,English
lets roll,English
wie a zegt moet ook b zeggen,Nederlands
vanaand braai ons weer ‘n slag skaalvleis,Afrikaans
set ones cap at,English
bells and whistles,English
hy is lekker vuurbek,Afrikaans
hy stuur ons van pontius na pilatus om te soek na n naald in die hooimied,Afrikaans
die pad is snuif tussen soebatsfontein en koingnaas,Afrikaans
how now brown cow,English
drink like a fish,English
make your hair stand on end,English
cock and bull story,English
pin money,English
the upper hand,English
shit end of the stick  the,English
eerder bang jan as dooi jan anders is jy bokveld toe,Afrikaans
worth ones salt,English
the pip  getgothave,English
make no bones about,English
nest of vipers  a,English
kettle of fish,English
the hair of the dog that bit you,English
freezing temperatures,English
talk to the hand,English
hy is nie onder n kalkoen uitgebroei nie,Afrikaans
cut to the chase,English
licketysplit,English
through thick and thin,English
grandfather clock,English
nod is as good as a wink  a,English
ivory tower,English
mea culpa,English
red sky at night,English
top dog,English
bubble and squeak,English
take the gilt off the gingerbread,English
grinning like a cheshire cat,English
the buck stops here,English
by the board,English
as mad as a march hare,English
good samaritan,English
die wonder van ‘n nuwe oggend is dat dit ons die geleentheid gee om voor te begin,Afrikaans
gussiedup,English
throw in the towel,English
lock stock and barrel,English
sealed with a loving kiss,English
at sixes and sevens,English
dassie het ‘n stert gekry,Afrikaans
laugh like a drain,English
hard man is good to find  a,English
big easy  the,English
darling buds of may,English
fingers and thumbs,English
pure as the driven snow,English
body  phrases related to the human body,English
the third degree,English
begeer nie om ‘n man van belang te wees nie maar ‘n man van waarde,Afrikaans
sound bite,English
bring home the bacon,English
as fast as greased lightning,English
a hard man is good to find,English
writing is on the wall  the,English
van surfing,English
“die koringkorrels sjor op die dorsvloer neer” – boerneef boplaas,Afrikaans
a little bird told me,English
your money or your life,English
hy is bekend as die bont hond,Afrikaans
blood toil tears and sweat,English
met broek en baadjie,Afrikaans
bodice ripper,English
go and boil your head,English
up a gum tree,English
packed to the gunwales,English
act the giddy goat,English
twelve good men and true,English
age cannot wither her nor custom stale her infinite variety,English
pipe down,English
in the buff,English
goody goody gumdrops,English
have an inkling,English
the collywobbles,English
put your best foot forward,English
the best laid schemes of mice and men,English
you cant get blood out of a stone,English
die beste manier om ‘n argument te wen is om daaruit te bly,Afrikaans
nambypamby,English
no dice,English
as jou pad deur die kantvoorspelers versper word gebruik jy die geweldbreek – danie craven,Afrikaans
de pot verwijt de ketel dat hij zwart ziet,Nederlands
hy dink hy kan biltong saamneem,Afrikaans
pig and whistle,English
up shit creek without a paddle,English
where theres muck theres brass,English
die droëpram is al mooi groot,Afrikaans
let them eat cake,English
baby boomer,English
curates egg,English
tickled pink,English
its all grist to the mill,English
stars and garters  my,English
not my cup of tea,English
mouthwatering,English
as dikmelk kaas geword het,Afrikaans
fiddling while rome burns,English
doesnt know shit from shinola,English
granny dumping,English
you can lead a horse to water but you cant make it drink,English
customer is always right  the,English
vicious circle,English
carbon footprint,English
oxo cube,English
pommy bashing,English
moenie fout vind nie vind ‘n oplossing,Afrikaans
jimmy riddle,English
geduld is een schone zaak,Nederlands
put a sock in it,English
beast with two backs,English
pull out all the stops,English
no man is an island,English
a hiding to nothing  on,English
die beeste het in die brand geloop,Afrikaans
in the red,English
the devil take the hindmost,English
no laughing matter,English
chip off the old block,English
bats in the belfry,English
bottom drawer,English
straight from the horses mouth,English
speak of the devil,English
once in a blue moon,English
daar is baie goeie maniere om jou teen versoeking te beskerm – die maklikste is om ‘n lafaard te wees,Afrikaans
hunt and peck,English
put on the wooden overcoat,English
so bang soos ‘n haas vir ‘n hond,Afrikaans
“hy is twee castles kort van ‘n sixpack”  – ingestuur deur andre,Afrikaans
hairy eyeball,English
iemand dwarsdeur kyk,Afrikaans
saam met ons rondom ons in ons en by ons is die onsienlike hy sal altyd daar wees,Afrikaans
i have nothing to offer but blood toil tears and sweat,English
short end of the stick  the,English
whoopsadaisy,English
hê jou vyande lief want jy het hulle gemaak,Afrikaans
ginned up,English
quotations,English
away with the fairies,English
let not poor nelly starve,English
let bygones be bygones,English
similes,English
night owl,English
pick n mix,English
one fell swoop  at,English
sien jou in ‘n dik ruk,Afrikaans
set your teeth on edge,English
sex and shopping,English
go to the dogs,English
make him an offer he cant refuse,English
dogs bollocks,English
‘n mens kan met ‘n bokwa en ‘n lang span osse daarin draai,Afrikaans
gestewel en gespoor,Afrikaans
sy ly aan bekenklouseer,Afrikaans
about turn,English
using a sledgehammer to crack a nut,English
absent without leave,English
hedge your bets,English
happy as a clam,English
the whole nine yards,English
game is up  the,English
die kwaaikind moet uitgebrand word,Afrikaans
fools paradise  a,English
on the pigs back,English
third time lucky,English
ends of the earth  the,English
the  unkindest cut of all,English
hy is ‘n ongeslypte diamant,Afrikaans
wie kaatst moet de bal terug verwachten,Nederlands
screw your courage to the sticking place,English
mccoy  the real,English
àugur well,English
separate the sheep from the goats,English
so sue me,English
al die paaie lei na rome en die kronkelpaaie na ons drome,Afrikaans
not worth a plugged nickel,English
op die bokwa wees,Afrikaans
like two peas in a pod,English
fate worse than death  a,English
pleased as punch,English
as pure as the driven snow,English
age before beauty,English
offing  in the,English
ek sal jou opkoffie as jy sê my span speel sleg,Afrikaans
brandewyn raas as dit uit die vat uit kom,Afrikaans
an albatross around ones neck,English
box and cox,English
the law is an ass,English
spring forward fall back,English
vergelyk eers wat jy het met wat jy nie het nie – dan kan jy waardeer wat jy nie het nie en liefkry wat jy het,Afrikaans
rough diamond,English
old lang syne  see auld lang syne,English
a friend in need is a friend indeed,English
als de kat van huis is dansen de muizen op tafel,Nederlands
on queer street,English
christmas box  a,English
the real mccoy,English
an apple a day keeps the doctor away,English
one for the road,English
you get on my wick,English
getik wees,Afrikaans
spruceup,English
‘n pot vol goud,Afrikaans
doldrums  in the,English
silly billy,English
hy hou van op die lawaaiwa klim,Afrikaans
beware the ides of march,English
quality time,English
battle royal,English
haat is selfmoord op ‘n langtermyn basis,Afrikaans
the floozie in the jacuzzi,English
the order of the boot,English
bang on about,English
jou biesiepol,Afrikaans
dit is die klein botteltjies wat die groot gif het,Afrikaans
norange  a,English
sloane ranger,English
the fat of the land,English
beat around the bush,English
reduplicated phrases,English
i see you stand like greyhounds in the slips,English
snug as a bug in a rug,English
the apple of my eye,English
bee in your bonnet,English
total shambles,English
beeline  make a beeline for,English
walk free,English
get underway,English
primrose path,English
karakter is soos ‘n boom en reputasie sy skaduwee die skaduwee is wat ons daarvan dink die boom is die werklikheid,Afrikaans
donkeys years,English
dit gaan jou blikkies,Afrikaans
white as snow,English
rack your brains,English
hunkydory,English
‘n ou bok lus ook nog ‘n groen blaartjie,Afrikaans
cut off without a penny,English
kleine potjes hebben grote oren,Nederlands
wax poetic,English
hobsons choice,English
as jy jonk wil bly bly bruikbaar,Afrikaans
hair of the dog that bit you,English
chitchat,English
the call of the wild,English
angry young man,English
hy moet nie met sy rondloperhondmaniere hier kom kuier nie,Afrikaans
shebang  the whole,English
the year dot,English
naas die wete wanneer om ‘n geleentheid aan te gryp is die belangrikste ding in die lewe om te weet wanneer om ‘n geleentheid te laat verbygaan,Afrikaans
more bang for your buck,English
kilroy was here,English
give up the ghost,English
jors het al vroegmôre gedrink kanteldronk geraak nou is hy geaap en lêtiep,Afrikaans
touch wood,English
mother country,English
below the belt,English
thumbs up,English
heard it through the grapevine,English
the back of beyond,English
beat a hasty retreat,English
sorry sight,English
cut of your jib  the,English
bargepole  wouldnt touch with a,English
the big apple,English
piping hot,English
swart grietjie soen,Afrikaans
put up your dukes,English
bog standard,English
a man who is his own lawyer has a fool for a client,English
the game is afoot,English
dit verg meer moed om te ly as om te sterf,Afrikaans
marital aid,English
alas poor yorick i knew him horatio,English
die swaarste ding om te dra is ‘n wrok,Afrikaans
hard hearted,English
pester power,English
tempest in a teapot,English
geen mens het nog ooit in sy slaap ryk geword nie,Afrikaans
economical with the truth,English
ship shape and bristol fashion,English
everybody out,English
life in the s  folk etymologies,English
die julius is hardekoejawel inkoejawel en ingat,Afrikaans
baptism of fire,English
pop goes the weasel,English
elke haan is koning op sy eie mishoop,Afrikaans
buck stops here  the,English
legend in ones own lifetime,English
blood and thunder,English
ek kan enigiets weerstaan behalwe versoeking,Afrikaans
ou jors sleep darem nog so aan,Afrikaans
je moet de huid niet verkopen voordat de beer geschoten is,Nederlands
swing the lead,English
filthy rich,English
going for a burton,English
bury your head in the sand,English
high wide and handsome,English
okay,English
in the bag,English
daar is  soorte werksmense een werk vir sy loon – die ander word beloon vir sy werk,Afrikaans
hy vryf graag haar boud,Afrikaans
nautical phrases,English
go the whole hog,English
cogito ergo sum,English
hard cheese,English
fancy free,English
om die toekoms te ken is om verveeld te wees,Afrikaans
gregory peck,English
sold down the river,English
milk of human kindness,English
meat and two veg,English
twenty four seven,English
history is bunk,English
jack palancing,English
if wishes were horses beggars would ride,English
dit is nooit my eie dood waaroor ek spekuleer nie,Afrikaans
get down to brass tacks,English
niemand is so dom soos die een wat nie wil leer nie en niemand is so lui soos die een wat nie wil dink nie,Afrikaans
watch the birdie,English
house divided against itself cannot stand  a,English
high five,English
dont change horses in midstream,English
the belle of the ball,English
‘n druppel gal is in die soetste wyn ‘n traan op elk vrolik snaar in elke lag ‘n sug van pyn in elke roos ‘n dowwe blaar gewis is alles net ‘n grap ons speel in die komedie mee geblinddoek met ‘n lanferlap wat selfs die son ‘n skadu gee die een wat deur die nag ons pret beloer en laaste lag – is skoppenboer,Afrikaans
yellowbelly,English
if i had my druthers,English
beer and skittles,English
lies damned lies and statistics,English
the birds and the bees,English
carey street  on,English
bacon  bring home the,English
dogs breakfast,English
ladies room,English
backroom boy,English
full of piss and vinegar,English
many a little makes a mickle,English
sy kloek soos n hen al om haar kuikens,Afrikaans
rock and roll,English
keep schtum,English
soebat en bangoog kyk help niks,Afrikaans
donkie vasmaak,Afrikaans
dont throw the baby out with the bathwater,English
beat the living daylights out of someone,English
elke gek het sy gebrek,Afrikaans
egg on,English
four by two,English
ek gaan bietjie by haar afsaal,Afrikaans
murphys law,English
let the cat out of the bag,English
pipe dream  a,English
bitter end  the,English
wax lyrical,English
agter die kruis staan altyd die duiwel,Afrikaans
stille wateren hebben diepe gronden,Nederlands
it fell off the back of a truck,English
folk etymology  the nonsense nine,English
van een kale kip kan men niet plukken,Nederlands
fit as a fiddle,English
thou shalt not kill,English
as happy as,English
die grootste taak in die lewe is nie om te sien wat doer vér in die toekoms lê nie maar om te identifiseer wat duidelik voor ons lê en dit te verwerk,Afrikaans
staan of hy geld in die bank het,Afrikaans
put a spanner in the works,English
without let or hindrance,English
fish out of water  a,English
het up,English
loop gee die hoenders kos,Afrikaans
halfhearted,English
a sledgehammer to crack a nut,English
little knowledge is a dangerous thing  a,English
the fly in the ointment,English
word in your shelllike  a,English
wraak maak jou gelyk met jou vyand vergifnis plaas jou hoër as hy,Afrikaans
moot point,English
je moet het ijzer smeden als het heet is,Nederlands
no holds barred,English
whats up doc,English
lifes too short,English
the big easy,English
nittygritty,English
come up trumps,English
weewee,English
take the bit between your teeth,English
make a virtue of necessity,English
the road less travelled,English
hocus pocus,English
at loggerheads,English
spitting feathers,English
ducks and drakes,English
fair to middling,English
a foregone conclusion,English
as jy dan dwing om te val doen dit terwyl jy nog op die onderste trappie is,Afrikaans
‘n skimp kan seerder maak as ‘n skop,Afrikaans
khyber pass,English
winter drawers on,English
keep at bay,English
toe maar môre bak ma koekies,Afrikaans
urban myth,English
golf  gentlemen only ladies forbidden,English
out of the mouths of babes and sucklings,English
een gewaarschuwd mens telt voor twee,Nederlands
“hier het een gesit en pikstele knyp”  – ingestuur deur lödveteig nan,Afrikaans
when it comes to the crunch,English
train surfing,English
dropdead gorgeous,English
toffeenosed,English
cookie cutter,English
the bane of my life,English
wick  you get on my,English
lala land,English
à la mode,English
get your dander up,English
diamond in the rough,English
in limbo,English
sy is ‘n regte ou tierwyfie,Afrikaans
the heebiejeebies,English
as dead as a dodo,English
toodleoo,English
woe betide you,English
turn a blind eye,English
die spul daar op bergplaas sit dassie daar word nie geploeg nie,Afrikaans
upper hand,English
sy gesang is uit,Afrikaans
ons werk kaalvoorlyf,Afrikaans
a bigger bang for your buck,English
charmed life,English
all that glitters is not gold  all that glisters is not gold,English
break the ice,English
a golden key can open any door,English
mend fences,English
long in the tooth,English
